"","cod_mun","populacao","faixa_pop","pib_per_cap","Num_sc","Num_pl","Num_chl","Num_consor","Num_fu","ser_perc","nota_transp_2016","leg.dummie_2012","idhm_quintil","idhm_2013"
"1","1100015",25652,"4 - 20001 até 50000",14727.86,2,3,2,0,3,27,8.9,1,"segundo",0.641
"2","1100023",102860,"6 - 100001 até 500000",18681.04,3,3,3,0,3,27.7,5.9,1,"quarto",0.702
"3","1100031",6424,"2 - 5001 até 10000",17664.6,2,1,2,0,3,23.9,6.1,1,"terceiro",0.65
"4","1100049",86556,"5 - 50001 até 100000",19185.84,2,3,3,0,3,27.8,8.6,0,"quarto",0.718
"5","1100056",18013,"3 - 10001 até 20000",21785.2,3,3,2,0,3,20.2,6.3,0,"quarto",0.692
"6","1100064",19001,"3 - 10001 até 20000",14407.59,2,3,2,0,3,28.9,7.2,0,"terceiro",0.685
"7","1100072",8938,"2 - 5001 até 10000",20907.14,3,2,2,0,3,17,5.2,0,"segundo",0.613
"8","1100080",16258,"3 - 10001 até 20000",10370.56,3,2,3,0,3,25.3,8.9,0,"segundo",0.611
"9","1100098",32047,"4 - 20001 até 50000",14428.48,3,3,2,0,3,35.8,0.6,1,"terceiro",0.672
"10","1100106",46203,"4 - 20001 até 50000",13985.1,2,3,3,0,3,0,2,0,"terceiro",0.657
"11","1100114",55669,"5 - 50001 até 100000",20310.41,3,3,2,0,3,26.6,9.6,0,"terceiro",0.689
"12","1100122",129242,"6 - 100001 até 500000",20513.81,3,2,3,1,3,31.8,9.4,1,"quarto",0.714
"13","1100130",36412,"4 - 20001 até 50000",11666.22,2,2,2,0,3,34.9,9.6,0,"segundo",0.596
"14","1100148",21511,"4 - 20001 até 50000",11959.23,2,2,2,0,3,42.9,8.6,0,"segundo",0.643
"15","1100155",40010,"4 - 20001 até 50000",15014.61,3,3,3,0,3,31.8,0.7,1,"terceiro",0.682
"16","1100189",37230,"4 - 20001 até 50000",22506.72,3,2,3,0,3,2,3.3,0,"quarto",0.71
"17","1100205",494013,"6 - 100001 até 500000",25896.13,3,2,3,0,3,57,9.8,0,"quinto",0.736
"18","1100254",22783,"4 - 20001 até 50000",14691.33,3,2,2,1,2,9.9,6.6,0,"terceiro",0.664
"19","1100262",3709,"1 - Até 5000",20139.64,2,2,2,0,3,29.6,8.9,0,"segundo",0.643
"20","1100288",55807,"5 - 50001 até 100000",18366.2,3,2,3,0,3,43.3,8.4,1,"quarto",0.7
"21","1100296",8706,"2 - 5001 até 10000",15266.01,2,2,2,0,2,26.5,9.1,1,"terceiro",0.67
"22","1100304",89797,"5 - 50001 até 100000",23660.8,2,2,3,0,3,26.6,1,1,"quinto",0.731
"23","1100320",23803,"4 - 20001 até 50000",17271.86,2,2,3,1,3,24.5,7.8,0,"terceiro",0.646
"24","1100338",26925,"4 - 20001 até 50000",12679.75,2,2,3,2,3,28.4,8.9,0,"primeiro",0.587
"25","1100346",17228,"3 - 10001 até 20000",11929.31,3,2,3,0,3,39.3,8.9,0,"segundo",0.643
"26","1100379",13884,"3 - 10001 até 20000",15212.73,1,2,3,0,3,28.9,9.1,0,"primeiro",0.592
"27","1100403",19841,"3 - 10001 até 20000",11743.66,3,3,3,1,3,40.3,9,1,"segundo",0.625
"28","1100452",37207,"4 - 20001 até 50000",12792.24,1,3,3,0,3,20.7,7.8,0,"segundo",0.616
"29","1100502",10393,"3 - 10001 até 20000",12283.99,2,2,2,0,2,5.6,8.8,0,"segundo",0.634
"30","1100601",6318,"2 - 5001 até 10000",18516.67,2,3,3,3,3,29.7,9.5,0,"terceiro",0.646
"31","1100700",14081,"3 - 10001 até 20000",14486.68,3,2,2,0,3,24.4,4.8,1,"segundo",0.593
"32","1100809",23573,"4 - 20001 até 50000",13466.74,3,2,3,1,3,21.2,8.3,1,"terceiro",0.649
"33","1100908",3653,"1 - Até 5000",16356.4,2,2,2,0,3,18.2,7.6,0,"terceiro",0.658
"34","1100924",9887,"2 - 5001 até 10000",23096.25,3,3,2,0,3,24.5,0,1,"terceiro",0.652
"35","1100940",20204,"4 - 20001 até 50000",13149.1,2,3,3,0,3,15.3,8.9,0,"segundo",0.612
"36","1101005",10327,"3 - 10001 até 20000",14095.66,3,2,2,0,3,23.2,8.6,0,"segundo",0.596
"37","1101104",9831,"2 - 5001 até 10000",13532.28,3,2,2,0,3,18.7,2.4,1,"segundo",0.614
"38","1101203",10860,"3 - 10001 até 20000",15447.71,3,2,2,0,3,30,8.4,1,"segundo",0.638
"39","1101302",12414,"3 - 10001 até 20000",13122.94,2,2,2,1,3,33.2,8.1,1,"segundo",0.643
"40","1101435",7853,"2 - 5001 até 10000",11953.98,3,2,2,1,3,32.3,8.9,1,"primeiro",0.587
"41","1101450",5589,"2 - 5001 até 10000",14102.51,3,2,3,0,3,43.2,8.9,1,"segundo",0.617
"42","1101468",2432,"1 - Até 5000",31572.14,1,2,2,0,3,20,0.2,0,"terceiro",0.665
"43","1101476",3548,"1 - Até 5000",14896.89,2,2,2,0,3,31.1,9.3,1,"segundo",0.641
"44","1101484",6160,"2 - 5001 até 10000",11989.58,3,2,3,0,3,14.7,7.8,1,"terceiro",0.649
"45","1101492",18640,"3 - 10001 até 20000",14303.6,3,3,3,1,3,27.2,7.7,0,"segundo",0.611
"46","1101559",5041,"2 - 5001 até 10000",14297.62,3,2,2,1,3,40.7,8.1,1,"segundo",0.643
"47","1101609",11345,"3 - 10001 até 20000",12088.74,3,2,2,0,3,31.6,8.6,1,"primeiro",0.589
"48","1101757",10682,"3 - 10001 até 20000",9928.27,3,3,3,0,3,62,4.3,1,"primeiro",0.584
"49","1101807",8327,"2 - 5001 até 10000",14135.41,1,2,2,1,3,33.1,7.7,0,"segundo",0.627
"50","1200054",6610,"2 - 5001 até 10000",11094.15,2,1,2,0,3,0,0.6,0,"primeiro",0.588
"51","1200104",23378,"4 - 20001 até 50000",14582.83,2,2,3,0,3,0,6,0,"segundo",0.614
"52","1200203",80953,"5 - 50001 até 100000",14213.98,3,2,3,0,3,19.1,3.9,1,"terceiro",0.664
"53","1200302",32398,"4 - 20001 até 50000",9553.16,3,2,3,3,3,11.4,2.8,0,"primeiro",0.539
"54","1200328",7330,"2 - 5001 até 10000",9614.35,3,2,3,3,3,0,6.4,1,"primeiro",0.469
"55","1200336",16795,"3 - 10001 até 20000",11177.68,1,2,3,0,2,32.3,2.2,0,"segundo",0.625
"56","1200351",16380,"3 - 10001 até 20000",9913.02,3,1,3,0,3,31.1,0.7,1,"primeiro",0.501
"57","1200401",363928,"6 - 100001 até 500000",22462.61,3,2,3,0,3,0,6.2,1,"quarto",0.727
"58","1200427",16475,"3 - 10001 até 20000",10410.01,3,1,3,0,3,35.5,5.8,0,"primeiro",0.567
"59","1200435",5593,"2 - 5001 até 10000",9546.73,3,2,2,0,3,0,4.4,0,"primeiro",0.517
"60","1200609",38201,"4 - 20001 até 50000",10134.45,3,2,3,3,2,0,6.4,0,"primeiro",0.539
"61","1200807",16396,"3 - 10001 até 20000",12393.61,1,2,3,0,3,32.5,7.6,0,"primeiro",0.576
"62","1300029",15357,"3 - 10001 até 20000",7017.81,3,3,2,0,3,9.5,4.3,1,"primeiro",0.527
"63","1300060",10644,"3 - 10001 até 20000",5987.95,3,2,3,1,3,21.3,4.3,0,"primeiro",0.56
"64","1300086",11981,"3 - 10001 até 20000",7184.73,3,1,3,0,3,0,3,1,"segundo",0.594
"65","1300102",18826,"3 - 10001 até 20000",8975.19,3,2,3,0,3,14.1,3,1,"primeiro",0.561
"66","1300144",20258,"4 - 20001 até 50000",9530.12,3,1,3,0,3,32.6,4.6,0,"segundo",0.637
"67","1300201",17658,"3 - 10001 até 20000",7074.53,3,1,3,1,3,4.8,2.6,0,"primeiro",0.45
"68","1300300",36301,"4 - 20001 até 50000",6584.31,3,2,3,0,3,5.5,2.4,1,"primeiro",0.577
"69","1300409",27273,"4 - 20001 até 50000",5425.9,3,2,2,0,3,13.8,3.3,0,"primeiro",0.5
"70","1300508",30202,"4 - 20001 até 50000",6971.7,3,2,2,0,3,17.8,4.6,1,"primeiro",0.574
"71","1300607",38533,"4 - 20001 até 50000",7023.47,3,1,3,1,3,15.8,8.6,0,"primeiro",0.574
"72","1300631",17755,"3 - 10001 até 20000",6814.3,3,1,2,0,2,25.7,2.7,0,"primeiro",0.506
"73","1300680",17248,"3 - 10001 até 20000",5704.08,2,2,3,0,3,15.3,3.4,0,"primeiro",0.565
"74","1300706",33148,"4 - 20001 até 50000",8381.87,3,1,3,0,3,14,5.9,0,"primeiro",0.588
"75","1300805",38688,"4 - 20001 até 50000",6589.21,3,3,3,0,3,15.4,0.2,1,"primeiro",0.56
"76","1300839",12214,"3 - 10001 até 20000",10692.96,3,2,3,0,3,7.1,3.3,0,"primeiro",0.569
"77","1300904",14944,"3 - 10001 até 20000",5902.91,3,3,3,0,3,0,2.8,0,"primeiro",0.53
"78","1301001",27645,"4 - 20001 até 50000",8523.99,3,3,3,0,3,20.6,4.5,0,"primeiro",0.549
"79","1301100",35938,"4 - 20001 até 50000",6052.56,3,3,3,0,3,41.6,0.4,0,"primeiro",0.557
"80","1301159",27357,"4 - 20001 até 50000",8825.18,3,3,3,0,3,24.6,3.3,0,"primeiro",0.568
"81","1301209",82209,"5 - 50001 até 100000",37772.15,1,2,3,0,3,11.4,3.5,0,"primeiro",0.586
"82","1301308",26242,"4 - 20001 até 50000",24840.16,2,2,3,0,3,24,4,0,"primeiro",0.563
"83","1301407",33580,"4 - 20001 até 50000",11401.14,2,2,2,0,3,19,2.6,1,"primeiro",0.563
"84","1301506",18422,"3 - 10001 até 20000",6778.85,3,1,3,0,3,25.1,4.4,1,"primeiro",0.509
"85","1301654",15561,"3 - 10001 até 20000",6443.18,3,2,3,0,3,0,5.9,1,"primeiro",0.532
"86","1301704",50230,"5 - 50001 até 100000",8418.49,2,2,3,0,3,25.3,6.7,1,"segundo",0.605
"87","1301803",26118,"4 - 20001 até 50000",4298.19,3,2,2,0,3,0,2.8,0,"primeiro",0.481
"88","1301852",45250,"4 - 20001 até 50000",11702.4,2,2,3,0,3,29.8,4,0,"segundo",0.613
"89","1301902",95714,"5 - 50001 até 100000",16622.85,2,1,3,0,3,36.3,7.8,0,"terceiro",0.644
"90","1301951",8205,"2 - 5001 até 10000",9259.74,3,1,3,0,3,0,4.4,1,"primeiro",0.477
"91","1302009",8864,"2 - 5001 até 10000",9086.44,3,2,3,0,3,13.7,3.2,1,"terceiro",0.654
"92","1302108",5599,"2 - 5001 até 10000",10387.96,3,2,3,0,3,25.3,3.4,1,"primeiro",0.522
"93","1302207",12807,"3 - 10001 até 20000",6624.01,2,2,3,0,3,0,7,1,"primeiro",0.522
"94","1302306",16977,"3 - 10001 até 20000",10732.9,2,1,3,0,3,17,1.5,1,"primeiro",0.516
"95","1302405",42439,"4 - 20001 até 50000",8684.83,3,1,3,0,3,16.9,2.8,1,"primeiro",0.531
"96","1302504",92996,"5 - 50001 até 100000",13596.41,2,2,3,0,3,29.7,2.9,0,"segundo",0.614
"97","1302553",27480,"4 - 20001 até 50000",7525.2,2,2,3,0,2,27,3.4,0,"segundo",0.596
"98","1302603",2020301,"7 - Maior que 500000",33370.72,2,2,3,0,3,31.2,7.7,0,"quinto",0.737
"99","1302702",52200,"5 - 50001 até 100000",8802.87,3,2,3,0,3,33.9,6.7,1,"primeiro",0.582
"100","1302801",18367,"3 - 10001 até 20000",6409.62,3,2,3,0,3,2,3.3,0,"primeiro",0.498
"101","1302900",58834,"5 - 50001 até 100000",6618.27,3,2,3,0,3,0.5,7.8,0,"primeiro",0.588
"102","1303007",20078,"4 - 20001 até 50000",6032.32,3,2,3,0,3,34.1,2.6,0,"primeiro",0.586
"103","1303106",34498,"4 - 20001 até 50000",5442.93,3,2,3,0,3,3.3,2.8,0,"primeiro",0.558
"104","1303304",23905,"4 - 20001 até 50000",6251.71,3,1,2,0,3,17.9,3.4,0,"primeiro",0.554
"105","1303403",110411,"6 - 100001 até 500000",8837.87,3,2,2,0,3,22.3,6.6,0,"terceiro",0.658
"106","1303502",19265,"3 - 10001 até 20000",7088.41,3,2,3,0,3,9.1,4,0,"primeiro",0.496
"107","1303536",31903,"4 - 20001 até 50000",20776.36,2,1,3,0,3,16.1,5.9,0,"terceiro",0.647
"108","1303569",29771,"4 - 20001 até 50000",12458.34,3,2,3,0,3,4.2,4.4,1,"segundo",0.611
"109","1303601",21702,"4 - 20001 até 50000",5677.76,2,2,2,3,2,12.6,2.4,0,"primeiro",0.479
"110","1303700",24005,"4 - 20001 até 50000",6086.67,2,1,3,1,3,17.2,6.5,1,"primeiro",0.49
"111","1303809",42342,"4 - 20001 até 50000",6075.15,2,3,3,0,3,26.8,3,1,"segundo",0.609
"112","1303908",35757,"4 - 20001 até 50000",5337.97,1,2,3,1,3,5.3,2.4,1,"primeiro",0.521
"113","1303957",12451,"3 - 10001 até 20000",6763.33,2,1,2,0,3,36.8,4.8,1,"primeiro",0.577
"114","1304005",9014,"2 - 5001 até 10000",8286.96,3,2,3,0,3,0,3.4,1,"segundo",0.632
"115","1304062",59684,"5 - 50001 até 100000",6142.82,3,2,3,1,3,17,1.4,0,"segundo",0.616
"116","1304203",62662,"5 - 50001 até 100000",11346.51,2,0,2,0,3,39,3.3,0,"segundo",0.639
"117","1304237",18322,"3 - 10001 até 20000",5850.44,3,2,3,1,2,23,2.7,1,"primeiro",0.548
"118","1304260",12963,"3 - 10001 até 20000",9369.34,2,2,2,0,3,2.2,3.3,1,"primeiro",0.527
